tauN,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.8475,7,0.42994778512086873,0.24993480741934354,0.8449263943399595,0.4911678184212794,0.5952815950432918,0.7608975908468294
-0.8475,8,0.41972502580395465,0.24926460819054228,0.8444129554567696,0.5014765657343998,0.5954745694833801,0.759049141030763
-0.8475,9,0.4172160596894959,0.2489464091419269,0.8353993641213558,0.49846995835260416,0.6004064878651417,0.7587826715381218
-0.8475,10,0.42286169521949923,0.2514960569748923,0.8490281431190271,0.5049576082891879,0.5931476657984371,0.7578758235176682
-0.8475,11,0.4234086399461774,0.25363092629162015,0.8433864945803974,0.5052067380331686,0.5957692614134332,0.7541569603984256
-0.8475,12,0.42706974824721966,0.25144560374349556,0.8497026643347529,0.500278936433657,0.5913217356528694,0.7581516303260653
-0.8475,13,0.4206122247889691,0.2504629083663994,0.8516550226026597,0.5071369335328647,0.5908597175845838,0.7571093346060533
-0.8475,14,0.4298462821228582,0.24855345580968333,0.847000329732854,0.48976777927991977,0.5921785486950987,0.7596122908622909
-0.8475,15,0.42113087366735324,0.2476923760017788,0.8455028899593028,0.49729106276784757,0.594417601725033,0.7586649036342509
-0.8475,16,0.42401356918311406,0.2505011292083004,0.8492478463270101,0.501723435154408,0.5901889214231278,0.7575092744026487
-0.8475,17,0.41897203782811465,0.2520462817093706,0.8434011057845067,0.5073754177116871,0.5956782713085234,0.7551779288284686
-0.8475,18,0.4211135088235177,0.24862672613500508,0.8425207979424751,0.49742690107069626,0.5967438697547902,0.7607695692172313
-0.8475,19,0.4185641122276959,0.2544132804083101,0.8291109040400052,0.5039534416757862,0.5956512985705658,0.7560103318100536
-0.775,0,0.3795334699124306,0.2478674930523753,0.7752574089548736,0.5063087333832818,0.6317680881648299,0.7575332585350216
-0.775,1,0.3926050884180789,0.24719385317522158,0.792165854810416,0.4987671728694098,0.6246979121270948,0.7583504988085141
-0.775,2,0.3860362404619357,0.2474421426103039,0.7860452920775601,0.5038406006329138,0.6258992805755396,0.7582465972778223
-0.775,3,0.38599988104372396,0.25044889300445883,0.7747875702640756,0.5027066038506675,0.6281984543306771,0.7587006033483837
-0.775,4,0.38423714629346156,0.25005442089846175,0.7781260146740169,0.5063900038356345,0.6264558735241145,0.7558265040975415
-0.775,5,0.3921870918823096,0.25393163190520696,0.7690444236476361,0.49793761586382357,0.6256406149903908,0.7567535166240409
-0.775,6,0.3899187662587453,0.2525056328748728,0.7711387835908058,0.49937808444886256,0.6259324616988851,0.7578791989148648
-0.775,7,0.3848245364374598,0.24722711712767687,0.773526150101957,0.4969450282015906,0.6279674926938629,0.7603612965109309
-0.775,8,0.3858925248146756,0.24891992424695633,0.7850269656028107,0.5063815447151108,0.627893104271057,0.7558944234328479
-0.775,9,0.3959953446579368,0.2508908067455251,0.781588968126812,0.49519139404561724,0.6222834771492489,0.7589314322332585
-0.775,10,0.38423741963457614,0.24925933826740493,0.7627658114496756,0.49481516296815536,0.6307022449468722,0.7587919570616037
-0.775,11,0.387933436119077,0.25397862420901207,0.7668608639632337,0.5020610472187619,0.6304026818853015,0.7565248767189191
-0.775,12,0.39097471350179863,0.2477050545873238,0.7758703375562432,0.49155865502327545,0.6251548204083264,0.7604020663970206
-0.775,13,0.3966240045692758,0.253719909732132,0.7667865938134943,0.49051248317016094,0.6255525907045283,0.7573821863324093
-0.775,14,0.38470790341177447,0.24453181102164667,0.7788767097001235,0.49507725392813773,0.6295027095951546,0.7620061034371989
-0.775,15,0.3967897299598036,0.2475892478566521,0.7799558053897233,0.48667759429517893,0.6220920968769917,0.7614877892030848
-0.775,16,0.391802248695409,0.2516664432519114,0.7821025192262787,0.5023681204674607,0.6234691427199232,0.7571759814503878
-0.775,17,0.38718552336139345,0.2509279392485721,0.7802563742891745,0.5056700529146573,0.6258377814343621,0.7577642227803691
-0.775,18,0.38949407987184076,0.24925746408573035,0.7802956093635598,0.4993516329983426,0.6242334362098682,0.7596503133607441
-0.775,19,0.38302442299409545,0.2513313696398598,0.7748594271357883,0.5084440296993723,0.6297140571885623,0.7560312062412482
-0.7025,0,0.3442654375951797,0.24899598753091312,0.6949529287581887,0.5026368374135864,0.665395576606591,0.7589588232949336
-0.7025,1,0.3474045784318534,0.2496141776059476,0.6978436384453411,0.5014086650623845,0.663943616850873,0.7588700655266102
-0.7025,2,0.35311248652994903,0.2518427706381452,0.7070463762056296,0.5042713728509955,0.6597971083952392,0.7562695296851214
-0.7025,3,0.3503291806822052,0.2477184542602848,0.6946917926568913,0.49121793602565433,0.6634569282403708,0.7605718404613167
